UID,5 Star,Total,Percentage
62684473,6814,28123,24.0%
figue,55,27673,0.0%
45859606,31,25343,0.0%
allanzhulei,1025,25030,4.0%
chenchangxing,1754,20289,9.0%
33367044,3505,16650,21.1%
innuma,76,13116,0.6%
nieer,366,12568,2.9%
3369724,133,12448,1.1%
12736932,320,12028,2.7%
Edwood,1065,11734,9.1%
shawnj,869,11283,7.7%
shenfu80,24,10994,0.2%
4165611,1716,10751,16.0%
qijiuzhiyue,231,10685,2.2%
ydkj,179,10535,1.7%
luoying6,406,10429,3.9%
1256612,587,10330,5.7%
FrankWasabi,509,10170,5.0%
nglsy,622,10072,6.2%
laomianren,1174,9955,11.8%
lihuhu,2089,9931,21.0%
1090084,213,9888,2.2%
nangle,397,9869,4.0%
luzhiyu,1712,9852,17.4%
54204621,95,9705,1.0%
mauria,1795,9656,18.6%
flowermumu,616,9450,6.5%
L5.P4,1244,9173,13.6%
1286613,19,9168,0.2%
njst,794,8789,9.0%
43866584,145,8657,1.7%
1738979,411,8566,4.8%
navyblue617,1792,8499,21.1%
lovemusic007,464,8465,5.5%
amorcat,268,8401,3.2%
zhaoyiwen,1306,8357,15.6%
fangyunan,525,8352,6.3%
yanluohan,291,8345,3.5%
stknight,289,8324,3.5%
neongod,370,8317,4.4%
richer725,509,8228,6.2%
2265138,2503,8192,30.6%
CFJ,59,8175,0.7%
wangxy,329,7869,4.2%
dengyigeren,903,7770,11.6%
chongbao,632,7625,8.3%
1023517,32,7448,0.4%
infero,96,7421,1.3%
dbhungry,867,7385,11.7%
darlingtudai,133,7361,1.8%
grinch,950,7361,12.9%
kejinlong,328,7319,4.5%
lsd_XY,950,7205,13.2%
xiaojiong,641,7061,9.1%
COCOCOQUEEN,1022,6968,14.7%
1166776,221,6852,3.2%
1019579,232,6795,3.4%
kathychou,1011,6740,15.0%
sun1987,407,6728,6.0%
mlsslm777,845,6653,12.7%
sedgwick,100,6557,1.5%
2040298,155,6529,2.4%
hitchitsch,243,6520,3.7%
